MASTERID,STRATUM,WT_A,income,logincome,region,numadults,numchildren,age,female,medicaid,insured,ownhome,educcat,racecat
46521989C,44,32.21718216,,,M,1,1,53,0,0,1,1,5,1
46522039L,55,221.8133087,43000,10.66897865,A,2,2,29,1,0,1,1,6,1
46523452B,6,105.9916611,,,S,1,0,86,1,0,1,1,3,1
46526032A,102,109.7194901,110000,11.60824474,M,2,1,54,0,0,1,1,7,4
46528908F,83,687.0886231,75000,11.22525673,M,2,0,30,0,0,1,1,4,1
46529605B,103,338.9146423,,,M,2,0,23,0,0,0,0,2,3
46531766K,103,253.0505829,58000,10.96821553,R,1,0,58,0,0,1,1,5,1
46532079F,84,96.97792816,115000,11.6526961,M,1,0,32,1,0,1,1,8,1
46532219A,14,20.31833267,25000,10.1266711,R,1,0,87,1,0,1,1,6,1
46533572B,28,24.77603722,13500,9.510519036,A,1,0,63,1,1,1,0,6,1
46535554L,8,21.31420898,,,A,2,0,73,0,0,1,1,8,1
46535810H,92,100.9315109,,,M,2,0,66,1,0,1,1,4,3
46540252K,85,22.3286438,15072,9.620660343,M,1,0,73,1,0,1,0,6,2
46544698C,98,48.34462357,25000,10.1266711,M,1,0,57,1,0,1,1,4,1
46544876A,5,99.30055237,65000,11.08215793,A,3,1,48,1,0,1,1,7,1
46545264H,26,259.7414856,100000,11.51293547,S,2,1,51,1,0,1,1,4,1
46546473B,101,97.12665558,,,A,1,0,21,1,0,0,0,3,3
46550209P,98,162.0302124,180000,12.10071769,M,4,0,50,1,0,1,1,7,1
46550809G,97,139.7405701,65000,11.08215793,M,2,0,54,0,0,1,1,6,1
46551169J,24,88.45379639,45000,10.71443999,S,2,2,36,1,0,1,1,5,1
46551328F,10,46.01328278,48000,10.77897712,A,2,0,58,0,0,1,1,4,1
46554671F,6,302.2906799,32000,10.37352243,S,1,3,24,0,0,1,1,4,1
46559559A,83,184.9300537,,,M,1,0,78,0,1,1,1,2,1
46560174E,84,118.1961517,50000,10.81979828,M,2,0,58,1,0,1,1,4,1
46562970L,97,51.26715851,45000,10.71443999,M,1,0,41,1,0,1,0,5,2
46563883L,46,122.7842255,110000,11.60824474,M,2,0,62,0,0,1,1,7,1
46565034B,41,79.36283875,30000,10.30898599,A,1,0,32,1,0,1,1,8,1
46575024B,65,234.6603088,,,M,2,0,52,1,0,1,1,4,1
46576139G,77,112.5207443,140000,11.84940484,R,2,0,67,0,0,1,1,8,1
46576944L,61,59.35849762,,,A,2,0,33,0,0,1,1,8,1
46577599H,4,437.5494385,24000,10.08585078,R,2,0,57,0,0,1,0,8,1
46577885F,13,102.3378525,40000,10.59665973,A,1,0,49,0,0,1,0,4,1
46577924K,37,86.48970795,,,A,2,0,77,1,0,1,1,2,1
46580551A,87,48.68045425,103000,11.54249398,M,1,0,56,1,0,1,1,6,2
46584247H,29,98.20083618,,,R,3,0,54,1,0,1,1,5,1
46587343C,53,689.0342407,15000,9.615872145,A,1,0,31,0,1,1,0,3,2
46587670B,95,265.3569641,94000,11.4510607,M,1,0,48,0,0,1,0,7,1
46589038L,75,38.92656326,,,R,2,0,59,0,0,1,1,8,1
46589636J,81,67.21339417,140000,11.84940484,S,2,0,54,1,0,1,1,6,1
46590569K,22,687.0886231,37000,10.51870022,S,1,0,32,0,0,1,1,4,1
46590744J,83,687.0886231,,,M,3,0,34,0,0,0,1,4,1
46594334H,79,40.75956726,20000,9.903537551,R,1,0,50,1,0,1,1,4,1
46598555E,44,50.22930908,38000,10.54536775,M,2,0,73,1,0,1,1,4,1
46599564A,85,53.96210098,28000,10.2399955,M,1,0,55,1,0,1,0,4,2
46601137F,83,234.0960236,25000,10.1266711,M,1,0,79,1,0,1,0,4,1
46601169B,50,17.43364143,15000,9.615872145,R,1,0,59,1,0,0,1,7,1
46602716F,101,59.78178787,,,S,1,0,33,1,0,1,1,3,3
46603801F,101,129.9017792,90000,11.40757606,M,2,0,37,1,0,1,0,7,3
46606581C,63,49.57203674,35000,10.46313191,R,2,0,53,1,0,1,1,4,1
46611235F,101,150.1950684,55000,10.91510665,M,3,2,43,1,0,1,1,4,3
46620085G,82,32.58466339,25000,10.1266711,R,1,0,60,0,0,1,1,4,1
46620719B,73,92.40532684,,,A,3,0,56,1,0,1,1,4,1
46621043T,100,168.1402741,35000,10.46313191,M,2,1,45,0,0,1,0,5,1
46623427F,33,74.50648499,24000,10.08585078,A,5,0,51,0,1,1,1,3,1
46624272L,65,290.2012329,,,M,2,1,56,0,0,1,1,6,1
46625283C,93,33.59642792,10000,9.210440367,M,1,2,55,1,1,1,1,5,2
46625616K,63,61.30506516,60000,11.00211651,R,2,1,45,0,0,1,1,7,1
46625856F,72,146.3810272,35000,10.46313191,S,1,1,40,1,0,1,1,4,1
46626299A,102,449.9407959,265000,12.48748888,R,4,3,65,1,1,1,1,4,4
46626546E,44,55.47891235,700000,13.45883704,M,2,0,42,1,0,1,1,8,1
46627278H,17,38.05467224,50000,10.81979828,R,1,0,63,1,0,1,1,4,1
46627644L,40,672.4807129,90000,11.40757606,S,2,0,51,1,0,1,1,4,1
46630500W,98,300.8853149,40000,10.59665973,M,2,0,69,0,0,1,1,4,1
46631576H,61,19.17196465,28000,10.2399955,A,2,1,80,1,0,1,1,4,1
46633021J,24,51.36603928,60000,11.00211651,S,1,1,49,0,0,1,1,5,1
46636768K,56,65.16482544,21600,9.980494889,R,1,0,84,0,0,1,1,3,1
46637343H,95,145.832901,80000,11.28979441,M,1,0,72,0,0,1,1,8,1
46639155J,98,31.82554627,30000,10.30898599,M,1,0,70,1,0,1,1,6,1
46639796C,68,104.8303986,22000,9.998843186,A,2,2,37,1,0,0,0,5,1
46641747E,83,390.5431519,52000,10.85901823,M,2,0,84,1,0,1,1,4,1
46643892K,46,358.3243103,45000,10.71443999,M,4,0,41,1,0,1,0,4,1
46645033E,12,70.40594482,40000,10.59665973,S,1,0,68,1,0,1,1,8,1
46645081C,9,42.60248947,7000,8.853808275,M,1,0,48,0,1,1,0,5,1
46645211B,103,324.289856,150000,11.91839724,M,2,2,37,1,0,1,1,8,2
46646272L,103,673.3848877,8732,9.074864232,M,1,0,39,0,0,1,0,3,1
46646513X,44,231.038269,25000,10.1266711,M,1,0,46,1,1,1,0,7,1
46647844B,15,45.20886231,,,A,1,0,75,1,0,1,1,4,1
46648844F,64,262.5521545,13800,9.532496332,R,2,0,62,0,0,0,1,3,1
46651381F,3,30.01778603,,,R,2,0,77,0,1,1,1,4,1
46651785C,72,94.335289,40000,10.59665973,A,2,0,76,0,0,1,1,5,1
46651963A,63,32.22999573,65000,11.08215793,R,3,0,49,0,1,1,1,8,1
46653127K,88,117.3683548,,,M,1,0,61,1,1,1,0,2,2
46657971L,97,369.0427246,8784,9.080801001,M,1,0,52,0,0,1,0,3,2
46658603C,71,364.0095215,36000,10.491302,M,2,1,28,1,0,1,1,8,1
46662538K,93,81.37548828,18000,9.798182591,M,1,0,53,0,0,1,1,5,1
46663329L,97,284.4631348,,,M,1,0,53,0,0,1,1,3,2
46663335F,98,63.65109253,,,M,2,0,69,1,0,1,1,8,1
46664652L,34,46.428051,34000,10.43414522,A,1,2,31,1,0,1,0,5,1
46667450F,13,61.97988892,,,A,2,0,61,1,0,1,1,6,1
46672672F,58,29.78374672,100000,11.51293547,R,3,0,59,0,0,1,1,7,1
46674338E,49,19.52573776,135000,11.81303747,A,2,2,36,0,0,1,1,7,1
46674492H,90,109.4952393,30000,10.30898599,M,1,0,56,1,0,0,1,7,1
46675200C,99,123.5352097,3000,8.006700845,M,1,1,21,1,1,1,0,5,2
46675928E,103,568.067627,,,M,2,0,41,0,0,1,1,7,1
46679798H,85,18.54102325,50000,10.81979828,M,2,2,68,0,1,1,1,5,2
46680592A,102,109.7194901,15700,9.661479684,M,2,0,45,0,0,1,1,7,4
46686311B,79,675.9246216,20000,9.903537551,R,2,0,23,0,0,0,0,4,1
46687835G,24,147.6860809,,,S,2,3,39,0,0,1,1,7,1
46688782U,44,192.7081451,75000,11.22525673,M,2,0,50,1,0,1,1,8,1
46688831H,100,7.226259708,22000,9.998843186,M,1,0,81,1,0,1,0,6,2
46689798E,4,206.3576508,62000,11.03490579,R,3,1,42,1,0,1,1,6,1
46692627K,103,687.0886231,4000,8.294299609,M,1,0,25,0,0,0,0,6,1
46694963J,86,643.3710327,55000,10.91510665,M,2,0,50,0,0,1,0,4,2
46695302B,43,31.71468926,8000,8.987321813,R,1,0,59,1,1,1,0,5,1
46698671E,86,467.0183411,110000,11.60824474,S,2,0,51,1,0,1,1,7,1
46703331L,1,43.84780121,34000,10.43414522,A,1,0,21,0,0,1,0,4,1
46703654L,32,26.71994019,,,R,2,0,49,1,0,1,1,4,1
46705793L,39,152.6006622,,,R,4,1,49,1,1,1,1,4,1
46706380A,44,48.17636871,40000,10.59665973,M,1,0,47,0,0,1,1,4,1
46707001E,54,22.77923584,60000,11.00211651,R,1,0,68,1,0,1,1,8,1
46707442A,46,47.85774231,11000,9.305741457,M,1,0,80,1,0,1,1,4,1
46710508G,95,487.0880127,35000,10.46313191,M,2,2,33,1,1,1,1,4,1
46711412K,50,21.15836525,,,R,1,0,74,0,0,1,1,7,1
46711684B,79,85.55834961,70000,11.15626481,A,2,0,62,0,0,1,1,6,1
46715285A,102,136.233078,,,M,2,0,65,0,0,1,1,8,4
46716886A,21,53.54135513,50000,10.81979828,M,2,0,67,0,0,1,1,5,1
46720865C,2,125.1694031,,,M,2,0,56,1,0,1,1,8,1
46722278A,90,361.5852661,40000,10.59665973,M,1,0,48,0,0,1,0,4,1
46723250G,60,14.25373936,,,A,1,0,71,0,1,1,0,2,3
46723863G,70,94.65222931,70000,11.15626481,R,1,1,41,0,0,1,1,4,1
46724438H,98,31.82554627,,,M,1,0,68,1,0,1,1,6,1
46725718C,44,144.3437805,8000,8.987321813,M,2,2,36,1,1,1,0,4,1
46728991F,103,140.8679504,60000,11.00211651,M,1,0,65,0,0,1,1,5,1
46729309F,80,96.92619324,36,3.610917913,R,1,0,22,1,0,1,1,4,1
46731561S,83,601.5673218,5000,8.517393171,M,1,0,62,0,0,0,1,4,1
46732357L,21,262.6693115,60000,11.00211651,R,2,1,36,0,0,0,1,4,1
46733741E,66,223.3742371,17000,9.741027445,A,3,1,39,1,0,0,1,4,1
46739822L,103,159.28125,70000,11.15626481,A,2,0,62,0,0,1,1,4,4
46741795B,81,108.0402222,39000,10.57134257,R,3,0,61,1,0,1,1,4,1
46742241C,4,129.1990509,75000,11.22525673,R,2,0,52,1,0,1,1,4,1
46743358C,97,50.34046173,55000,10.91510665,M,1,0,68,0,0,1,1,6,2
46746407C,97,54.46683502,,,M,1,0,75,1,0,1,1,4,1
46746810F,83,405.1069946,65000,11.08215793,M,2,0,57,1,0,1,1,4,1
46750351L,37,139.7219544,8400,9.036106025,A,1,0,61,1,1,1,0,4,1
46751582T,98,58.34719467,11000,9.305741457,M,1,1,42,1,1,1,0,6,2
46751917H,60,263.5721436,35000,10.46313191,S,2,1,33,0,0,0,1,5,1
46753910B,30,100.5941925,40000,10.59665973,R,2,1,33,1,0,1,1,4,1
46755217G,13,338.9146423,55000,10.91510665,A,2,0,22,0,0,0,0,5,3
46755748F,52,9.663472176,,,A,1,0,78,1,0,1,1,4,1
46756408C,13,153.549942,130000,11.77529742,M,2,1,51,0,0,1,1,6,1
46758983F,72,260.292572,80000,11.28979441,S,2,0,61,0,0,1,1,8,1
46760640E,29,95.9516983,100000,11.51293547,R,2,2,39,1,0,1,1,8,1
46761776F,46,55.11325073,,,M,1,2,30,1,1,1,1,4,2
46762520H,63,16.31678009,19000,9.852246888,R,1,0,70,1,0,1,1,6,1
46764602E,51,480.664093,79000,11.27721579,S,3,0,41,0,0,1,1,5,1
46765092G,97,37.19294357,30000,10.30898599,M,1,0,76,1,0,1,1,7,1
46774377J,85,371.8222961,8280,9.021719013,M,1,0,76,0,0,1,0,3,2
46776542G,57,35.93544769,,,R,1,0,66,0,0,1,1,5,1
46777526H,91,130.9029388,7000,8.853808275,M,1,0,60,0,1,1,0,4,2
46778772A,103,774.3040161,4000,8.294299609,M,1,0,19,0,0,0,0,5,1
46785794K,35,19.62347984,20000,9.903537551,A,1,0,61,1,0,1,1,2,1
46787749F,101,210.730484,200000,12.20607765,M,4,1,46,0,0,1,1,7,3
46789870E,21,71.95030975,17000,9.741027445,R,2,0,86,0,0,1,0,4,1
46790099C,47,68.22015381,50000,10.81979828,R,1,0,58,1,0,1,1,3,1
46796041B,25,65.71279144,,,A,2,0,79,0,0,1,1,4,1
46798759B,86,229.9114533,65000,11.08215793,M,2,0,48,1,0,1,1,5,1
46799285K,64,44.92870712,,,R,1,0,57,0,0,1,1,4,1
46800870L,41,35.13653183,6192,8.731174901,A,1,0,53,1,0,1,1,6,1
46802696L,85,204.293869,,,M,4,0,56,1,0,1,1,5,2
46803939H,71,236.2017975,80000,11.28979441,M,2,2,37,1,0,1,1,7,1
46807063A,25,215.6963654,,,A,3,0,40,0,0,1,1,4,1
46814040G,9,210.7631836,12000,9.392745259,M,2,4,40,1,0,0,1,4,1
46820233A,66,131.519516,9600,9.169622539,A,1,0,47,0,1,1,0,3,1
46820606T,85,155.803894,,,M,1,2,31,1,0,1,1,4,2
46821116L,13,223.290741,,,A,2,0,67,0,0,1,0,8,2
46821147E,77,59.11639023,10700,9.278092474,A,1,0,80,1,0,1,0,4,1
46821372J,97,29.70426178,65000,11.08215793,M,2,0,55,1,0,1,1,5,3
46822064C,14,22.42341042,,,R,2,0,60,1,0,1,1,7,1
46822355G,23,25.17738152,,,R,1,0,74,1,0,1,0,3,3
46822691K,67,47.72781754,0,0,R,1,0,62,0,0,1,1,5,1
46823577H,87,122.6489716,20000,9.903537551,M,1,0,87,1,0,1,0,6,1
46825103G,46,106.0528336,33000,10.40429314,M,2,0,67,0,0,1,0,7,2
46829994G,91,121.5576019,40000,10.59665973,M,2,0,71,1,0,1,1,4,3
46830364A,72,24.12623215,25000,10.1266711,A,1,0,64,1,0,1,1,5,1
46832873G,51,774.3040161,50000,10.81979828,S,3,3,24,0,0,0,1,6,1
46833065G,8,7.956675053,12000,9.392745259,A,1,0,75,1,0,1,1,5,1
46833283B,39,24.7027607,,,A,1,0,93,1,1,1,1,4,1
46835143A,91,71.3189621,9600,9.169622539,A,1,6,33,1,1,1,0,5,2
46835986L,71,205.1111755,45000,10.71443999,M,1,0,51,0,0,1,1,4,1
46839320J,67,74.82553864,65000,11.08215793,A,3,1,45,1,0,1,1,4,1
46842154K,71,695.3408203,12000,9.392745259,M,1,0,23,1,0,1,0,7,1
46845163B,42,374.0346069,135000,11.81303747,S,2,3,36,1,0,1,1,7,1
46847023A,39,280.4692688,,,R,2,3,29,0,0,1,1,6,1
46847061C,2,114.4669876,35000,10.46313191,M,2,0,82,0,0,1,1,8,1
46847435L,86,309.3400879,80000,11.28979441,M,2,1,51,1,0,1,1,5,1
46851459F,69,11.19463348,50000,10.81979828,R,1,0,65,0,1,1,1,4,1
46852751A,87,108.8673248,50000,10.81979828,M,1,0,56,1,0,1,0,7,1
46854022G,100,29.64406395,35000,10.46313191,M,1,0,61,1,0,1,1,4,2
46857013A,85,51.07346726,115000,11.6526961,M,1,0,58,1,0,1,1,8,2
46862535J,97,86.2940979,60,4.110873864,M,2,0,53,1,0,1,1,4,1
46863584C,46,47.85774231,,,M,1,0,81,1,0,1,1,4,1
46869227A,41,695.3408203,34000,10.43414522,A,2,1,24,1,0,1,1,7,1
46869740K,69,116.4753647,50000,10.81979828,R,2,0,48,0,0,1,1,4,1
46870374G,24,27.34287262,32400,10.38594457,S,1,0,66,1,0,1,1,5,1
46870837B,24,115.5471191,55000,10.91510665,S,2,0,41,1,0,1,1,4,1
46872761P,88,70.88967896,9974,9.207837242,M,1,0,46,0,0,1,1,8,1
46876258C,77,117.2954941,105000,11.56172515,R,2,0,49,0,0,1,1,5,1
46881263H,49,4.969021797,9780,9.188197007,A,1,0,80,1,1,1,0,4,1
46882389A,79,76.83365631,,,R,2,0,50,1,0,1,0,5,1
46882931G,11,52.09219742,214000,12.27373597,A,2,0,52,0,0,1,1,8,1
46884619F,31,31.18659401,36000,10.491302,A,2,0,60,0,0,1,1,4,1
46885006J,8,39.66737747,52000,10.85901823,A,2,1,26,1,0,1,1,7,1
46886314K,13,382.2544556,16800,9.729193687,A,1,3,23,1,1,1,0,5,1
46889603F,33,5.180492878,7620,8.938662874,A,1,0,47,1,1,1,0,4,1
46891484K,55,175.3632965,26000,10.16589028,A,2,1,50,1,0,1,0,4,1
46891633K,8,33.54203796,42000,10.64544871,A,2,0,79,0,0,1,1,4,1
46893390A,47,38.51977539,1250,7.131698511,R,1,0,72,1,0,1,1,4,1
46893470G,86,672.5928955,60000,11.00211651,M,2,2,25,1,0,1,1,8,1
46893686K,98,85.94909668,105000,11.56172515,M,2,1,36,0,0,1,1,7,1
46894488L,84,38.90460587,17000,9.741027445,M,1,0,82,1,0,1,1,7,1
46897711G,94,77.9537735,8000,8.987321813,M,1,0,37,0,1,1,0,4,1
46898256H,26,276.5739746,196000,12.18587504,S,2,3,40,1,0,1,1,8,1
46900542H,33,12.40455055,45000,10.71443999,S,1,0,53,1,0,1,1,8,1
46906531F,46,371.1595154,,,M,3,1,30,1,0,1,1,3,2
46906900H,48,410.2477417,14000,9.546884035,S,1,0,53,1,0,1,0,4,1
46906984F,68,175.029129,59000,10.98530967,A,2,0,41,0,0,0,0,5,1
46908276H,97,59.51689529,7524,8.92598609,M,1,0,50,1,1,1,0,4,1
46908706C,80,90.31435394,75000,11.22525673,R,3,0,55,0,0,1,1,8,1
46909244C,61,3.618472576,9996,9.210040327,A,1,0,79,0,1,1,0,6,1
46914577B,71,307.8000488,40000,10.59665973,M,2,0,73,0,0,1,1,4,1
46916087L,43,113.119545,60000,11.00211651,R,3,2,43,1,0,1,1,4,1
46916465G,40,672.2270508,102000,11.5327379,S,2,2,43,1,0,1,1,6,1
46918127C,103,505.9738464,,,R,3,0,65,1,0,1,1,4,1
46920004E,103,667.2952881,140000,11.84940484,M,1,0,38,0,0,1,1,7,1
46922138B,11,8.200615883,,,R,1,0,81,1,0,1,1,8,3
46929542J,98,177.7428742,80000,11.28979441,M,4,1,50,0,0,1,1,6,1
46931698C,1,15.47859573,9600,9.169622539,A,1,1,23,1,1,1,0,4,1
46932436L,4,695.3408203,38000,10.54536775,R,4,0,18,1,0,1,1,3,1
46939629A,94,619.7333984,30000,10.30898599,M,2,0,22,1,0,0,1,5,2
46941057F,8,33.54203796,42000,10.64544871,A,2,0,70,0,0,1,1,4,1
46941428C,83,152.7567291,15876,9.6726268,A,2,3,37,1,1,1,0,4,3
46943432J,28,52.57386398,,,A,2,2,48,1,1,1,1,4,1
46944219L,67,50.81239319,22000,9.998843186,R,2,0,66,1,0,1,1,6,1
46944603A,103,587.7252197,25000,10.1266711,A,3,0,37,0,0,1,1,8,1
46946993H,38,455.3893433,38000,10.54536775,A,4,2,64,0,0,1,1,4,1
46948527L,90,687.0886231,15000,9.615872145,M,2,0,29,0,0,1,1,6,1
46949474L,103,687.0886231,80000,11.28979441,M,2,0,32,0,0,1,1,7,1
46953057J,8,19.51618385,24000,10.08585078,A,1,0,79,1,0,1,0,7,1
46955714L,87,120.1432724,,,S,2,0,53,0,0,1,1,6,1
46956024H,30,80.83978272,45000,10.71443999,R,4,0,54,1,0,1,1,7,1
46959469F,46,184.1763306,21180,9.960859832,M,3,3,51,0,0,1,1,5,1
46959543B,103,388.0619507,50000,10.81979828,R,2,1,41,1,0,1,1,4,1
46959780K,101,123.7893982,14000,9.546884035,M,2,1,73,1,1,1,0,5,3
46962173C,94,15.26216602,35000,10.46313191,M,1,0,54,1,0,1,0,5,2
46963316A,26,168.4852905,18000,9.798182591,S,1,1,45,1,0,0,0,4,1
46968352B,79,130.2029572,,,R,3,1,41,1,0,1,1,6,1
46968577K,68,29.77276421,32000,10.37352243,A,2,0,74,1,0,1,1,4,3
46969388E,19,15.75081635,0,0,A,1,0,82,1,0,1,1,4,1
46973636K,65,114.8183136,8000,8.987321813,M,1,2,36,1,0,0,0,6,2
46977416K,88,56.80467987,,,M,2,1,52,1,0,1,1,8,1
46979066E,93,56.95018768,22000,9.998843186,M,1,0,62,1,0,1,1,4,2
46983982G,13,38.74534607,25000,10.1266711,M,1,0,91,1,0,1,1,4,1
46984660B,90,320.9622803,150000,11.91839724,M,2,2,39,1,0,1,1,7,1
46986512L,67,65.89313507,35000,10.46313191,R,1,0,57,1,0,1,1,3,1
46987166E,59,85.41379547,8000,8.987321813,A,2,3,37,1,0,0,1,4,1
46987774K,103,672.5928955,60000,11.00211651,S,2,1,29,1,0,1,1,7,1
46991559A,6,68.72393036,,,S,2,0,56,1,0,1,1,8,1
46991981E,95,687.0886231,50000,10.81979828,M,2,1,30,0,0,0,1,4,1
46992456G,83,626.9633789,52000,10.85901823,M,2,3,32,1,0,0,1,5,1
46995456F,65,91.86315918,15,2.772588722,M,1,0,46,1,1,1,0,4,1
46996194C,77,157.8181458,,,R,2,1,50,0,0,1,1,7,1
46998606H,54,101.7292252,36000,10.491302,R,2,2,28,1,0,0,1,4,1
47002437E,40,672.2270508,,,S,2,1,38,1,0,1,1,7,1
47003527K,83,125.7593536,,,M,1,0,68,1,0,1,1,5,1
47003617A,103,659.6943359,,,M,3,1,19,1,1,1,0,4,1
47008121L,90,145.2958527,20000,9.903537551,M,1,0,73,1,0,1,1,4,1
47008479G,30,18.07581329,20400,9.923339198,R,1,0,72,1,1,1,0,4,1
47013281C,86,672.5928955,75000,11.22525673,M,2,1,30,1,0,1,1,8,1
47014530F,44,107.1659088,150000,11.91839724,M,2,3,43,1,0,1,1,7,1
47014900L,28,21.83527374,60000,11.00211651,A,1,0,55,0,0,0,1,8,1
47015626J,57,72.3914032,40000,10.59665973,R,2,0,75,1,0,1,1,4,1
47015871G,65,625.1674194,95000,11.4616427,M,2,1,41,0,0,1,1,4,2
47017365B,54,127.9816208,65000,11.08215793,R,2,2,47,0,0,1,1,4,1
47019610F,91,27.9420929,42000,10.64544871,M,1,0,57,1,0,1,1,5,1
47026683A,71,364.0095215,100000,11.51293547,M,2,2,32,1,0,1,1,8,1
47029678J,85,102.1469345,40000,10.59665973,M,2,4,52,1,0,1,1,5,2
47030595E,84,605.2120972,20000,9.903537551,M,2,0,22,0,0,0,0,4,2
47031470K,32,38.73898697,90000,11.40757606,R,2,2,47,0,0,1,1,5,1
47039807A,44,77.44837952,55000,10.91510665,M,4,0,48,1,0,1,1,4,1
47040642G,56,20.03780747,,,A,2,0,62,1,0,1,1,4,1
47040954G,52,10.82504177,50000,10.81979828,A,2,0,45,1,0,1,1,6,1
47044310E,9,66.80167389,50000,10.81979828,M,1,0,69,0,0,1,1,7,1
47045063E,48,208.1724243,60000,11.00211651,S,1,0,74,1,0,1,1,8,1
47045257H,6,155.2266541,70000,11.15626481,S,2,2,27,1,0,1,1,7,1
47046548C,30,69.21585846,13000,9.472781557,R,1,0,57,0,0,1,1,4,1
47048154J,103,687.0886231,45000,10.71443999,M,2,4,34,0,0,1,0,3,1
47048589Z,99,51.32683182,,,M,1,0,75,1,0,1,0,4,1
47050434E,46,144.2627564,,,M,4,0,57,1,0,1,1,6,1
47058390K,98,30.39839172,60000,11.00211651,M,1,0,62,1,0,1,1,8,2
47058768J,93,104.2623901,30000,10.30898599,M,1,1,42,0,0,0,1,6,2
47061730K,20,276.8258667,110000,11.60824474,S,3,1,48,1,0,1,1,7,1
47065414B,103,667.2330322,0,0,M,2,2,28,1,1,1,0,3,1
47065674B,31,31.5586071,19000,9.852246888,A,2,2,30,1,0,0,1,4,1
47066726F,5,695.3408203,65000,11.08215793,R,2,0,24,1,0,0,0,5,1
47068408G,19,88.9267807,65000,11.08215793,R,2,2,34,1,0,1,1,7,1
47068693B,31,32.02370071,25000,10.1266711,A,2,0,77,1,0,1,1,4,1
47068785L,33,155.8321686,30000,10.30898599,A,3,0,44,1,0,1,1,3,1
47071834H,77,407.8076477,,,R,2,0,18,0,0,1,1,4,1
47072871K,36,29.90687561,10800,9.287394001,R,1,0,79,1,0,1,0,4,1
47073701E,77,73.74313355,13000,9.472781557,R,1,0,73,1,0,1,0,4,1
47080336B,91,40.11008453,,,M,4,0,78,1,0,1,1,5,2
47082925B,63,21.85455895,40000,10.59665973,R,1,0,84,0,0,1,1,8,1
47083965C,46,48.57748413,60000,11.00211651,M,2,0,68,1,0,1,1,7,1
47087676J,50,34.86728287,90000,11.40757606,R,2,0,54,1,0,1,1,8,1
47088633S,21,230.0753784,20000,9.903537551,M,2,1,35,1,1,1,0,5,1
47088754L,33,13.64737701,,,A,1,0,79,0,0,1,1,4,1
47090266A,92,273.9328919,70000,11.15626481,M,2,1,40,1,0,1,1,8,1
47091536L,90,633.7478027,24000,10.08585078,M,3,0,59,0,0,1,1,4,2
47100070J,4,46.93216324,28000,10.2399955,R,1,0,47,1,0,1,1,5,1
47101038H,11,30.61014748,50000,10.81979828,R,2,0,52,1,0,1,1,4,1
47104068H,41,31.83796501,,,A,1,1,73,1,0,1,1,5,1
47105354J,100,49.41265869,0,0,M,3,0,46,1,0,0,0,3,2
47107265F,73,147.3582459,55000,10.91510665,A,2,2,40,0,0,0,1,5,1
47109979C,69,695.3408203,30000,10.30898599,R,4,0,20,1,0,0,1,5,1
47112547G,64,72.22743225,65000,11.08215793,R,5,1,53,1,0,1,1,4,1
47113038L,100,17.18331718,50000,10.81979828,M,2,0,62,1,0,1,1,4,1
47115116F,62,362.6985779,60000,11.00211651,S,2,0,65,1,0,1,1,4,1
47115139J,10,29.85058403,24000,10.08585078,A,2,0,66,1,0,1,1,4,1
47115282A,89,170.2672119,,,M,1,0,84,1,0,1,1,4,1
47115410E,24,147.6860809,75000,11.22525673,S,2,3,37,0,0,1,1,5,1
47115554R,44,435.2696228,50000,10.81979828,M,2,6,32,1,0,0,1,6,1
47115738K,103,689.0342407,80000,11.28979441,M,2,3,28,0,0,1,1,5,2
47116854C,30,84.46582031,37000,10.51870022,R,2,3,38,0,0,1,1,4,1
47117056L,29,98.20083618,100000,11.51293547,R,3,0,49,1,0,1,1,7,1
47117260H,69,48.07361984,23000,10.04329297,R,1,0,60,1,0,1,1,4,1
47119939B,101,349.3696899,,,R,3,3,28,0,0,0,0,4,3
47127539H,78,155.0062256,75000,11.22525673,A,2,2,29,1,0,1,1,5,1
47128798H,98,48.34462357,250000,12.4292202,M,2,2,47,1,0,1,1,4,1
47129445K,71,420.2612305,0,0,M,1,1,19,0,1,1,0,4,1
47129951K,45,30.28561211,20000,9.903537551,S,1,0,66,1,0,1,1,4,1
47130835J,37,62.49816132,7560,8.930758736,A,1,0,38,1,0,1,0,3,1
47134266L,61,489.271637,300000,12.61154109,A,3,0,22,1,0,1,1,5,1
47137222K,46,19.3395958,,,A,2,1,48,1,0,1,1,6,1
47137380E,36,37.07339859,25000,10.1266711,R,1,4,42,1,0,1,1,5,1
47139047G,13,139.9938965,75000,11.22525673,A,2,2,31,1,0,1,1,6,1
47139336C,101,120.1756439,,,M,1,0,18,0,0,0,0,3,3
47141706A,94,47.48381805,15000,9.615872145,M,2,0,62,1,0,1,1,3,1
47141957H,33,378.639801,30000,10.30898599,A,2,0,24,0,0,1,1,7,1
47142578A,54,52.40696335,,,R,2,2,76,1,0,1,1,4,1
47144493H,51,774.3040161,200000,12.20607765,S,5,0,18,0,0,1,1,4,1
47145425H,77,625.6477661,80000,11.28979441,R,2,2,33,1,0,1,1,5,1
47145900C,80,60.20956802,38000,10.54536775,R,2,0,53,0,0,1,1,5,1
47146733J,98,52.20881653,,,M,2,0,62,1,0,0,1,8,1
47147412H,93,211.1418304,66000,11.09742517,M,2,0,63,0,0,1,0,7,1
47147619G,37,26.77656937,23000,10.04329297,A,1,0,67,0,0,1,1,4,1
